,book,juan,juansuffix,paraIdx,text
130791,New_Book_of_Tang,186,,49,<n>王建</n>攻成都，<n>田令孜</n>以晟故將，與連和，假威戎軍節度使，守彭州。晟擊建，無功引還。且畏建圖己，乃約山南西道節度使<n>楊守亮</n>兄弟合謀拒建，掠新繁，焚漢州，又攻東川<n>顧彥暉</n>，為建兵所逐。建使<n>王宗裕</n>率騎五萬圍晟，食四郊麥，掠民資產。晟假子實以騎八千降於建，建以奇兵襲<n>楊守厚</n>等，皆亡去。晟開門決戰，大敗，遂約降。建饋十羊，晟曰：「以我為機上肉乎？」不出。建築甬道屬陴以入，斬晟首。
110636,New_Book_of_Tang,191,,7,<n>常達</n>，陜州陜人。仕隋為鷹擊郎將。嘗從高祖征伐，與<n>宋老生</n>戰霍邑，軍敗自匿，帝意已死，久乃自歸。帝大悅，命為統軍，拜隴州刺史。
42400,New_Book_of_Tang,192,,11,循有大略，禮部尚書<n>蘇頲</n>嘗謂今頗、牧，及為益州，表署列將。敗吐蕃於西山，三遷靜塞軍營田使。<n>張守珪</n>北伐，次灤河，屬凍泮，欲濟無梁。循揣廣狹為橋以濟，破虜而還，以功擢遊擊將軍、榆關守捉使。地南負海，北屬長城，林埌岑翳，寇所蔽伏。循調土斬木開道，賊遁去。範陽節度使<n>李適之</n>薦為安東副大都護。<n>安祿山</n>兼平盧節度，表為副，遷博陵太守。祿山欲擊奚、契丹，復奏循光祿卿自副，使知留後。九姓叛，祿山兼節度河東，而循亦兼雁門副之。母亡將葬，宅有枯桑，一夕再生，芝出北庸，人以為瑞。玄宗以循有功，詔贈其父常山太守。
41319,New_Book_of_Tang,207,,11,始，<n>李林甫</n>、<n>牛仙客</n>知帝憚幸東都，而京師漕不給，乃以賦粟助漕，及用和糴法，數年，國用稍充。帝齋大同殿，力士侍，帝曰：「我不出長安且十年，海內無事，朕將吐納導引，以天下事付林甫，若何？」力士對曰：「天子順動，古制也。稅入有常，則人不告勞。今賦粟充漕，臣恐國無旬月蓄；和糴不止，則私藏竭，逐末者眾。又天下柄不可假人，威權既振，孰敢議者！」帝不悅，力士頓首自陳「心狂易，語謬當死」。帝為置酒，左右呼萬歲。由是還內宅，不復事。加累驃騎大將軍，封渤海郡公。於來廷坊建佛祠，興寧坊立道士祠，珍樓寶屋，國貲所不逮。鍾成，力士宴公卿，一扣鍾，納禮錢十萬，有佞悅者至二十扣，其少亦不減十。都北堰澧列五磑，日僦三百斛直。
53833,Old_Book_of_Tang,19,下,5,乾符元年春正月辛酉朔。乙丑，左僕射、門下侍郎、平章事<n>蕭仿</n>兼右僕射。門下侍郎、吏部尚書、平章事<n>王鐸</n>檢校吏部尚書、同平章事，兼汴州刺史，充宣武軍節度、宋亳觀察等使。二月，葬懿宗於簡陵。
164767,Old_Book_of_Tang,30,,506,龍池躍龍龍已飛，龍德先天天不違。池開天漢分黃道，龍向天門入紫微。邸第樓臺多氣色，君王鳧雁有光輝。為報寰中百川水，來朝上地莫東歸。
47863,Old_Book_of_Tang,34,,151,求虧初複末置日月蝕泛用刻率，副之，以乘其日入轉損益率，如大衍通法而一。所得應朒者，依其損益；應朓者，損加益減其副，為定用刻數。半之，以減蝕甚辰刻，為虧初；以加蝕甚辰刻，為複末。其月蝕求入更籌者，置月蝕定用刻數，以其日每更差刻除，為更數；不盡，以每籌差刻除，為籌數。綜之為定用更籌。乃累計日入至蝕甚辰刻置之，以昏刻加日入辰刻減之，餘以更籌差刻除之。所得命以初更籌外，即蝕甚籌。半定用更籌減之，為虧初；以加之，為複末。按天竺僧<n>俱摩羅</n>所傳斷日蝕法，其蝕朔日度躔於郁車宮者，的蝕。諸斷不得其蝕，據日所在之宮，有火星在前三後一之宮並伏在日下，並不蝕。若五星總出，並水見，又水在陰曆，及三星已上同聚一宿，亦不蝕。凡星與日別宮或別宿則易斷，若同宿則難斷。更有諸斷，理多煩碎，略陳梗概，不復具詳者。其天竺所雲十二宮，則中國之十二次也。曰郁車宮者，即中國降婁之次也。十二次宿度，首尾具載「曆儀分野」卷中也。
110228,Old_Book_of_Tang,36,,14,南斗、牽牛，星紀之次也。醜初起鬥九度，一千四十二十分，秒二太。中鬥二十四度，一千一百分，秒八半。終女四度。其分野：自廬江、九江，負淮水之南，盡臨淮、廣陵，至於東海，廬、壽、和、濠、揚，皆屬星紀也。又逾南河，得漢丹陽、會稽、豫章郡，西濱彭蠡，南涉越州，盡蒼梧、南海。又逾嶺表，自韶、廣、封、梧、藤、羅、雷州，南及珠崖自北以東為星紀，其西皆屬鶉尾之次。古吳、越及東南百越之國，皆星紀分也。南斗在雲漢之下流，當淮、海之間，為吳分。牽牛去南河浸遠，故其分野自豫章東達會稽，南逾嶺徼，為越分。島夷蠻貊之人，聲教之所不洎，皆繫於狗國。<n>李淳風</n>刊定《隋志》，郡國頗為詳悉，所注郡邑多依用。其後州縣又隸管屬不同，但據山河以分耳。
89967,Old_Book_of_Tang,38,,353,宋州望隋之梁郡。武德四年，平王世充，置宋州，領宋城、寧陵、柘城、穀熟、下邑、碭山、虞城七縣。其年，以虞城屬東虞州。五年，廢東虞州，仍以虞城來屬。貞觀元年，廢杞州，以襄邑縣來屬，仍省柘城縣。十七年，以廢戴州之單父、楚丘來屬。永淳元年，又置柘城縣。天寶元年，改宋州為睢陽郡。乾元元年，複為宋州。舊領縣七，戶一萬一千三百三，口六萬一千七百二十。天寶領縣十，戶一十二萬四千二百六十八，口八十九萬七千四十一。去京師一千五百四十裏，至東都七百八十裏。
7531,Old_Book_of_Tang,39,,164,聊城漢縣。治郭下。武德四年，分置茌平縣。貞觀元年，省入聊城
59809,Old_Book_of_Tang,40,,155,縉雲萬歲登封元年，分括蒼及婺州永康縣置
60004,Old_Book_of_Tang,40,,350,甯夷隋置。武德四年，屬夷州。貞觀元年，屬思州
69011,Old_Book_of_Tang,41,,408,荔浦漢縣，屬蒼梧郡。武德四年，置荔浦、建陵、隋化、崇仁、純義。五年，以隋化屬南恭州。貞觀元年，以建陵屬晏州。十三年，廢荔州，以荔浦、崇仁屬桂州，純義屬蒙州也
9581,Old_Book_of_Tang,44,,101,丞四人，從六品上。主簿二人，從七品上。錄事二人，從九品上。府十五人，史五十人，計史四人，亭長七人，掌固七人。丞掌判寺事。凡正、至大朝所貢方物，應陳於殿廷者，受而進之。
173204,Old_Book_of_Tang,97,,35,疏奏不省。
2584,Old_Book_of_Tang,102,,12,<n>劉子玄</n>，本名知幾，楚州刺<n>史胤</n>之族孫也。少與兄知柔俱以詞學知名，弱冠舉進士，授獲嘉主簿。證聖年，有制文武九品已上各言時政得失，知幾上表陳四事，詞甚切直。是時官爵僭濫而法網嚴密，士類競為趨進而多陷刑戮，知幾乃著《思慎賦》以刺時，且以見意。鳳閣侍郎<n>蘇味道</n>、<n>李嶠</n>見而嘆曰：「<n>陸機</n>《豪士》所不及也。」
159845,Old_Book_of_Tang,113,,23,贊曰：奧矣晉卿，貪哉<n>裴冕</n>。遵慶父子，及之者鮮。
113253,Old_Book_of_Tang,123,,21,史臣曰：歷代操利柄為國計者，莫不損下益上，危人自安，變法以弄權，斂怨以構禍，皆有之矣。如<n>劉晏通</n>擁滯，任才能，富其國而不勞於民，儉於家而利於眾。或問曰：<n>鄭子產</n>吏不能欺，<n>宓子賤</n>吏不忍欺，<n>西門豹</n>吏不敢欺。三子者，古之賢人也，吏皆懷其欺而不能、不忍、不敢也。晏之吏，遠近自不欺者何也？答曰：蓋任其才而得其人也。晏歿，故吏二十餘年繼掌財賦，不其是哉！《史記貨殖》雲：「平糶齊物，關市不乏，治國之道也。」晏治天下，無甚貴甚賤之物，泛言治國者，其可及乎！舉真卿才，忠也，減王縉罪，正也，忠正之道，復出於人，嗚呼！本秀於林，風必摧之，<n>常袞</n>見忌於前，<n>楊炎</n>致冤於後，可為長嘆息矣！時譏有口者以利啖之，茍不塞讒口，何以持重權？即無以展其才，濟其國矣。是其術也，又何譏焉。第五琦促辦應卒，民不加賦，而國豐饒，亦庶幾矣。然鑄錢變法，物貴身危，其何陋哉！凡利國者，農商之外，不可為也。宏、滂爭權樹黨，皆非令人。紹之謹密幹事，巽之皦察精辨，亦足可稱。
1073,Old_Book_of_Tang,140,,16,初，辟嘗病，見諸問疾者來，皆以手據地，倒行入辟口，辟因礫裂食之；惟<n>盧文若</n>至，則如平常。故尤與文若厚，竟以同惡俱赤族，不其怪歟！
176906,Old_Book_of_Tang,141,,48,自安、史之亂，兩河藩帥多阻命自固，父死子代；唯茂昭表請舉族還朝，隣藩累遣遊客間說，茂昭志意堅決，拜表求代者數四。上乃命左庶子<n>任迪簡</n>為其行軍司馬，乗驛赴之。以兩郡之簿書、管鑰、符印付迪簡，遣其妻季氏、男克讓克恭等先就路，將行，誡之曰：「吾使爾曹侍親出易者，庶後之子孫不為風俗所染，則吾無恨矣。」時五年冬也。行及晉州，拜檢校太尉、兼中書令，充河中晉絳慈隰等州節度觀察等使。十二月十二日，至京師。故事雙日不坐，是日特開延英殿對茂昭，五刻乃罷。又上表請遷祖考之骨墓於京兆。在朝兩月，未之鎮。六年二月，疽發於首，卒，時年五十。廢朝五日，冊贈太師，賻絹三千匹、布一千端、米粟三千石，喪事所須官給，詔京兆尹監護，謚曰獻武。
177392,Old_Book_of_Tang,154,,2,廣德中，<n>李季卿</n>為江淮宣撫使，薦巢父，授左衛兵曹參軍。大歷初，澤潞節度使<n>李抱玉</n>奏為賓幕，累授監察禦史，轉殿中、檢校庫部員外郎，出授歸州刺史。建中初，涇原節度留後<n>孟皞</n>表巢父試秘書少監，兼禦史中丞、行軍司馬。尋拜汾州刺史，入為諫議大夫，出為潭州刺史、湖南觀察使。未行，會普王為荊襄副元帥，以巢父為元帥府行軍司馬，兼禦史大夫。
210172,Old_Book_of_Tang,171,,67,景儉弟景儒、景信、景仁，皆有藝學，知名於時。景信、景仁，皆登進士第。
74953,Old_Book_of_Tang,189,下,44,<n>郭山惲</n>，蒲州河東人。少通《三禮》。景龍中，累遷國子司業。時中宗數引近臣及修文學士，與之宴集，嘗令各效伎藝，以為笑樂。工部尚書<n>張錫</n>為《談容娘舞》，將作大匠<n>宗晉卿</n>舞《渾脫》，左衛將軍<n>張洽</n>舞《黃麞》，左金吾衛將軍<n>杜元琰</n>誦《婆羅門咒〗》，給事中<n>李行言</n>唱《駕車西河》，中書舍人<n>盧藏用</n>效道士上章。山惲獨奏曰：「臣無所解，請誦古詩兩篇。」帝從之，於是誦《鹿鳴》、《蟋蟀》之詩。奏未畢，中書令<n>李嶠</n>以其詞有「好樂無荒」之語，頗涉規諷，怒為忤旨，遽止之。
153020,Old_Book_of_Tang,200,下,24,十二月三日，僖宗夜自開遠門出，趨駱谷，諸王官屬相次奔命。觀軍容使<n>田令孜</n>、<n>王若儔</n>收合禁軍扈從。四日，賊至昭應，金吾大將軍<n>張直方</n>率在京兩班迎賊灞上。五日，賊陷京師。
