,book,juan,juansuffix,paraIdx,text,comments
158213,New_Book_of_Tang,223,下,19,柳璨字炤之，公綽族孫也。為人鄙野，其家不以諸柳齒。少孤貧，好學，晝採薪給費，夜然葉照書，強記，多所通涉。譏訶劉子玄《史通》，著《析微》，時或稱之。顏蕘判史館，引為直學士，由是益知名。遷左拾遺。昭宗好文，待李磎最厚，磎死，內常求似磎者。或薦璨才高，試文，帝稱善，擢翰林學士。,
81324,New_Book_of_Tang,59,,1379,楊昇畫《望賢宮圖》,
184519,New_Book_of_Tang,225,上,37,有商胡康廉者，天寶中為安南都護，附楊國忠，官將軍。上元中，出家貲佐山南驛稟，肅宗喜其濟，許之，累試鴻臚卿。婿在賊中，有告其畔，坐誅。事連莊，系獄，貶難江尉。京兆尹劉晏發吏防其家，莊恨之。俄詔釋罪，莊入見代宗，誣晏常矜功怨上，漏禁中事，晏遂貶雲。,
152922,New_Book_of_Tang,214,,61,贊曰：《傳》稱：「作《易》者其知盜乎！」然則盜之情，非聖人不能知。唐中衰，奸雄圜睨而奮，舉魏、趙、燕之地，莽為盜區，挐叛百年，夷狄其人，而不能復。昏上庸佐，惟不知盜故也。引妖就暝，以奪厥明，寧蕭俯、崔植等謂耶！,
110672,New_Book_of_Tang,191,,43,安祿山反，玄宗遣封常清募兵東京，憕與留臺禦史中丞盧弈、河南尹達奚珣繕城壘，綏勵士卒，將遏賊西鋒。帝聞，擢禮部尚書。祿山度河，號令嚴密，候詗不能知。已陷陳留、滎陽，殺張介然、崔詖，不數日，薄城下。常清兵皆白徒，戰不勝，輒北。憕收殘士數百，裒斷弦折矢堅守，人不堪鬥。憕約弈：「吾曹荷國重寄，雖力不敵，當死官。」部校皆夜縋去，憕坐留守府，弈守臺。城陷，祿山鼓而入，殺數千人，矢著闕門，執憕、弈及官屬蔣清，害之。有詔贈司徒，謚曰忠懿。河、洛平，再贈太尉，拜一子五品官。,
42962,New_Book_of_Tang,9,,25,廣明元年正月乙卯，改元。免嶺南、荊湖、河中、河東稅賦十之四。戊寅，荊南監軍楊複光、泰甯軍將段彥謨殺其守將宋浩，以常滋為節度留後。淮南將張潾及黃巢戰於大雲倉，敗之。二月丙戌，李國昌寇忻、代二州。戊戌，河東軍亂，殺其節度使康傳圭。壬子，鄭從讜罷為河東節度使、代北行營招討使。三月辛未，以旱避正殿，減膳。四月甲申，京師、東都、汝州雨雹，大風拔木。丁酉，太府卿李琢為蔚、朔招討都統。壬寅，張潾克饒州。五月，汝州防禦使諸葛爽為蔚、朔招討副使。泰甯軍將劉漢宏反。張潾及黃巢戰於信州，死之。六月，巢陷睦、婺、宣三州。江華賊蔡結陷道州。宿州賊魯景仁陷連州。七月，黃巢陷滁、和二州。辛酉，天平軍節度使曹全晸為東面副都統。辛未，劉漢宏降。李可舉及李國昌戰於藥兒嶺，敗之。八月辛卯，昭義軍亂，殺其節度使李鈞。癸卯，榮王忄責為司空。是月，忄責薨。九月，忠武軍將周岌殺其節度使薛能。牙將秦宗權自稱權知蔡州事。十月，黃巢陷申州。十一月，河中都虞候王重榮逐其節度使李都。黃巢陷汝州。壬戌，幸左神策軍閱武。護軍中尉田令孜為諸道兵馬都指揮制置招討使，忠武軍監軍楊複光副之。丁卯，東都留守劉允章叛附於黃巢。壬申，巢陷虢州。田令孜為汝、洛、晉、絳、同、華都統。十二月壬午，黃巢陷潼關。甲申，貶盧攜為太子賓客，分司東都。翰林學士承旨、尚書左丞王徽為戶部侍郎，翰林學士、戶部侍郎裴澈為工部侍郎：同中書門下平章事。行在咸陽。丙戌，左金吾衛大將軍張直方率武官叛附於黃巢。巢陷京師。辛卯，次鳳翔。丙申，河陽節度使諸葛爽叛附於黃巢。丁酉，次興元。庚子，廣德公主、豆盧琢、崔沆、尚書左僕射劉鄴、右僕射於琮、太子少師裴諗、禦史中丞趙濛、刑部侍郎李溥，京兆尹李湯死於黃巢。是歲，雨血於靖陵。,
163159,New_Book_of_Tang,40,,45,臨州狄道郡，下都督府。天寶三載析金城郡之狄道縣置。縣二：有臨洮軍，久視元年置，寶應元年沒吐蕃。狄道，下。長樂。下。本安樂，天寶後置，乾元後更名。,
110222,Old_Book_of_Tang,36,,8,東井、輿鬼，鶉首之次也。未初起井十二度，二千一百七十二秒，十五太。中井二十七度，二千八百二十八分，秒一半。終柳六度。其分野：自漢之三輔及北地、上郡、安定，西自隴坻至河西，西南盡巴、蜀、漢中之地，及西南夷犍為、越巂、益州郡，極南河之表，東至柯，皆鶉首分也。鶉首之分，得《禹貢》雍、梁二州，其郡縣易知，故不詳載。狼星分野在江、河上源之西，孤矢、犬、雞，皆徼外之象。今之西羌、吐蕃、蕃渾，及西南徼外夷，皆狼星之象。,
89878,Old_Book_of_Tang,38,,264,溫舊屬懷州。顯慶二年，割屬洛州,
47812,Old_Book_of_Tang,34,,100,求每日夜半漏定數置消息定衰，滿象積為刻，不滿為分。各遞以息減消加其氣初夜半漏，各得每日夜半漏定數。,
110825,Old_Book_of_Tang,93,,22,薛訥，絳州萬泉人也，左武衛大將軍仁貴子也。為藍田令，有富商倪氏於禦史台理其私債，中丞來俊臣受其貨財，斷出義倉米數千石以給之。訥曰：「義倉本備水旱，以為儲蓄，安敢絕眾人之命，以資一家之產？」竟報上不與。會俊臣得罪，其事乃不行。其後突厥入寇河北，則天以訥將門，使攝左武威衛將軍、安東道經略。臨行，於同明殿召見與語，訥因奏曰：「醜虜恁淩，以盧陵為辭。今雖有製升儲，外議猶恐未定。若此命不易，則狂賊自然款伏。」則天深然其言。尋拜幽州都督，兼安東都護。轉並州大都督府長史，兼檢校左衛大將軍。久當邊鎮之任，累有戰功。,
74918,Old_Book_of_Tang,189,下,9,屬徐敬業作亂於揚州，遣弟敬猷統兵五千人，緣江西上，將逼和州。子貢率鄉曲數百人拒之，自是賊不敢犯。以功擢授朝散大夫，拜成均助教。,
186639,Old_Book_of_Tang,193,,10,孝女賈氏，濮州鄄城人也。年始十五，其父為宗人玄基所害。其弟強仁年幼，賈氏撫育之，誓以不嫁。及強仁成童，思共報復，乃俟玄基殺之；取其心肝，以祭父墓。遣強仁自列於縣，司斷以極刑。賈氏詣闕自陳己為，請代強仁死。高宗哀之，特下制賈氏及強仁免罪，移其家於洛陽。,
7637,Old_Book_of_Tang,39,,270,無極漢縣，屬中山國。「無」本作「毋」字。，武德四年，屬廉州。貞觀元年，屬定州。萬歲通天二年，改「毋」字為「無」,
62209,Old_Book_of_Tang,142,,39,時朝廷以承璀宿師無功，國威日沮，頗憂。會承宗使至，宰臣商量，請行赦宥，乃全以六郡付之。承宗送薛昌朝入朝，授以右武衛將軍。,
15315,Old_Book_of_Tang,6,,17,二年春一月，親享明堂。癸亥，殺皇嗣妃劉氏、竇氏。臘月，改封皇孫成器為壽春郡王，恆王成義為衡陽郡王，隆基為臨淄郡王，衛王隆範為巴陵郡王，隆業為彭城郡王。春二月，尚方監裴匪躬坐潛謁皇嗣，腰斬於都市。秋九月，上加金輪聖神皇帝號，大赦天下，大酺七日。辛丑，司賓卿豆盧欽望為內史，文昌右丞韋巨源同鳳閣鸞台平章事，秋官侍郎陸元方為鸞台侍郎、同鳳閣鸞台平章事。,
50292,Old_Book_of_Tang,170,,54,初，元和十四年，於襄陽置臨漢監牧。廢百姓田四百頃，其牧馬三千二百餘匹。度以牧馬數少，虛廢民田，奏罷之，除其使名。八年三月，以本官判東都尚書省事，充東都留守。九年十月，進位中書令。十一月，誅李訓、王涯、賈餗、舒元輿等四宰相，其親屬門人從坐者數十百人；下獄訊劾，欲加流竄。度上疏理之，全活者數十家。,
90020,Old_Book_of_Tang,38,,406,萊蕪漢縣，晉廢。後魏於古城置嬴縣。貞觀初，廢入博城縣。長安四年，於廢嬴縣置萊蕪縣。元和十五年，併入乾封縣，尋卻置，屬兗州。,
47808,Old_Book_of_Tang,34,,96,求前件四氣置初日陟降率，每日依限次損益之，各為每日率。乃遞以陟減降加其氣初日消息衰分，亦得每日定衰及分也。,
69086,Old_Book_of_Tang,41,,483,潮水武德四年分鬱林置,
47721,Old_Book_of_Tang,34,,9,策餘：一萬五千九百四十三。,
32080,Old_Book_of_Tang,168,,5,俄兼太子侍讀，每晨至少陽院，午見莊恪太子。溫曰：「殿下盛年，宜早起，學周文王為太子，雞鳴時問安西宮。」太子幼，不能行其言。稱疾。上不悅，改太常少卿。未幾，拜給事中。王晏平為靈武，刻削軍士，贓罪發，帝以智興之故，減死，貶官。溫三封詔書，文宗深獎之。莊恪得罪，召百僚諭之。溫曰：「太子年幼，陛下訓之不早，到此非獨太子之過。」遷尚書右丞。,
176880,Old_Book_of_Tang,141,,22,季安幼守父業，懼嘉誠之嚴，雖無他才能，亦粗修禮法；及公主薨，遂頗自恣，擊鞠、從禽色之娛。其軍中政務，大抵任徇情意，賔僚將校，言皆不從。免公主喪，加檢校司徒。元和中，王承宗擅襲戎帥，憲宗命吐突承璀為招撫使，會諸軍進討。季安亦遣大將率兵赴會，仍自供糧餉。師還，加太子太保。,
184359,Old_Book_of_Tang,9,,3,夏四月庚戌，陳、許、豫、壽四州開稻田。辛酉，監察禦史周子諒上書忤旨，Ξ之殿庭，朝堂決杖死之。甲子，尚書右丞相張九齡以曾薦引子諒，左授荊州長史。乙丑，皇太子瑛、鄂王瑤、光王琚並廢為庶人。太子妃兄駙馬都尉薛鏽長流瀼州，至藍田驛賜死。,
59755,Old_Book_of_Tang,40,,101,富陽漢富春縣，屬會稽郡。晉改為富陽。隋舊縣。,
69040,Old_Book_of_Tang,41,,437,潯州下隋鬱林郡之桂平縣。貞觀七年，置潯州，領桂平、陵江、大賓、皇化四縣。十二年，廢潯州，以四縣屬龔州。後複置潯州，以桂平、大賓、皇化來屬，又省陵江入桂平。天寶元年，改為潯江郡。乾元元年，複為潯州也。舊領縣三，戶二千五百，口六千八百三十六。至京師五千九百六十裏，至東都五千七百里。東至龔州一百三十裏，西至潘州二百五十裏，西南至貴州一百五十裏，西北至蒙州三百六十裏。西南接鬱林州界。,
125559,Old_Book_of_Tang,197,,3,自林邑以南，皆卷髮黑身，通號為「崑崙」。,
52722,Old_Book_of_Tang,130,,4,璵以祭祀妖妄致位將相，時以左道進者，往往有之。廣德二年八月，道士李國禎以道術見，因奏皇室仙系，宜修崇靈跡。請於昭應縣南三十里山頂置天華上宮露台、大地婆父、三皇、道君、太古天皇、中古伏羲媧皇等祠堂，並置掃灑宮戶一百戶。又於縣之東義扶谷故湫置龍堂，並許之。時歲饑荒，人甚不安，昭應縣令梁鎮上表曰：,
24101,Old_Book_of_Tang,56,,27,武德二年，高祖遣延州總管段德操督兵討之。師都與突厥之眾數千騎來寇延安，營於野豬嶺。德操以眾寡不敵，按甲以挫其銳。後伺師都稍怠，遣副總管梁禮率眾擊之，德操以輕騎出其不意。師都與禮酣戰久之，德操多張旗幟，奄至其後，師都大潰，逐北二百餘里，虜男女二百餘口。經數月，師都又以步騎五千來寇，德操擊之，俘斬略盡。及劉武周之敗，師都大將張舉、劉旻相次來降，師都大懼，遣其尚書陸季覽說處羅可汗曰：「比者中原喪亂，分為數國，勢均力弱，所以北附突厥。今武周既滅，唐國益大，師都甘從亡破，亦恐次及可汗。願可汗行魏孝文之事，遣兵南侵，師都請為鄉導。」處羅從之。謀令莫賀咄設入自原州，泥步設與師都入自延州，處羅入自並州，突利可汗與奚契丹、靺鞨入自幽州，合於竇建德，經滏口道來會於晉、絳。兵臨發，遇處羅死，乃止。高祖又令德操悉發邊兵進擊師都，拔其東城。師都退據西城，又求救於突厥頡利可汗，頡利以勁兵萬騎救援之。時稽胡大帥劉ＧＣ成率眾降師都，師都信讒殺之，於是群情疑懼，多叛師都來降。師都勢蹙，乃往朝頡利，為陳入寇之計。自此頻致突厥之寇，邊州略無寧歲。頡利可汗之寇渭橋，亦師都計也。頡利政亂，太宗知師都勢危援孤，以書諭之，不從。遣夏州長史劉旻、司馬劉蘭經略之。有得其生口者，輒縱遣令為反間，離其君臣之計。頻選輕騎踐其禾稼，城中漸虛，歸命者相繼，皆善遇之。由是益相猜阻。有李正寶、辛獠兒者，皆其名將，謀執師都，事洩不果，正寶竟來降。貞觀二年，太宗遣右衛大將軍柴紹、殿中少監薛萬均討之，又使劉旻、劉蘭率勁卒直據朔方東城以逼之。頡利可汗遣兵來援師都，紹逆擊破之，進屯城下。師都兵勢日蹙，其從父弟洛仁斬師都，詣紹降，拜洛仁為右驍衛將軍，封朔方郡公。師都自起至滅，凡十二歲。以其地為夏州。時又有劉季真、李子和，屯據北邊，與劉武周、梁師都遞為表裡。,
117449,Old_Book_of_Tang,27,,4,《記》曰：「兄弟之子，猶子也。蓋引而進之也；嫂叔之不服，蓋推而遠之也。」禮：繼父同居，則為之期；未嘗同居，則不為服。從母之夫，舅之妻，二夫人相為服。或曰，同爨緦。然則繼父之徒，並非骨肉，服重由乎同爨，恩輕在乎異居。故知制服雖繫於名；亦緣恩之厚薄者也。或有長年之嫂，遇孩童之叔，劬勞鞠養，情若新生，分飢共寒，契闊偕老。譬同居之繼父，方他人之同爨，情義之深淺，寧可同日而言哉！在其生也，愛之同於骨肉；及其死也，則曰推而遠之。求之本原，深所未諭。若推而遠之為是，則不可生而共居；生而共居之為是，則不可死同行路。重其生而輕其死，厚其始而薄其終，稱情立文，其義安在？且事嫂見稱，載籍非一。鄭仲虞則恩禮甚篤，顏弘都則竭誠致感，馬援則見之必冠，孔伋則哭之為位。此並躬踐教義，仁深孝友，察其所尚之旨，豈非先覺者歟？但於其時，上無哲王，禮非下之所議，遂使深情郁乎千載，至理藏於萬古，其來久矣，豈不惜哉！,
7516,Old_Book_of_Tang,39,,149,貴鄉後魏分館陶西界，置貴鄉縣於趙城。周建德七年，自趙城東南移三十裏，以孔思集寺為縣廨。大象二年，於縣置魏州。武德八年，移縣入羅城內。開元二十八年，刺史盧暉移於羅城西百步。大曆四年，又移於河南岸置,
69115,Old_Book_of_Tang,41,,512,北流州所治。漢合浦縣地，隋置北流縣。縣南三十裏，有兩石相對，其間闊三十步，俗號鬼門關。漢伏波將軍馬援討林邑蠻，路由於此，立碑石龜尚在。昔時趨交趾，皆由此關。其南尤多瘴癘，去者罕得生還，諺曰：「鬼門關，十人九不還。」其土少鐵，以睟石燒為器，以烹魚鮭，北人名「五侯燋石。」一經火，久之不冷，即今之滑石也，亦名冷石,
89478,Old_Book_of_Tang,14,,42,秋七月乙巳朔，禦制《前代君臣事蹟》十四篇，書於六扇屏風。是月，出書屏以示宰臣，李籓等表謝之。丁未，渭南暴水，壞廬舍二百餘戶，溺死六百人，命府司賑給。乙卯，右羽林統軍高固卒。壬戌，禦史中丞李夷簡彈京兆尹楊憑前為江西觀察使時贓罪，貶憑臨賀尉。戊辰，以尚書右丞許孟容為京兆尹，賜金紫。八月甲戌朔。癸未，兗州魚台縣移置於黃台市。丙申，安南都護張舟奏破環王國三萬餘人，獲戰象、兵械，並王子五十九人。癸卯，贈太師裴冕宜配享代宗廟庭，贈太師李晟、贈太尉段秀實宜配享德宗廟庭。,
69196,Old_Book_of_Tang,41,,593,承化新昌嵩山珠綠嵩山珠綠新置。,
172779,New_Book_of_Tang,115,,19,景暉，官魏州司功參軍，貪暴為虐，民苦之，因共毀其父生祠，不復奉。至元和中，田弘正鎮魏博，始奏葺之，血食不絕。族孫兼謨。,
50769,New_Book_of_Tang,170,,45,貞元三年入朝，詔以宣武兵八千北出五原。士卒有逗留沮事者，斬三百人乃行，舉軍慴伏。尋授京西行營節度使。歲餘，改四鎮、北庭行營兼涇原節度。七年，城平涼，開地二百裏，扼彈箏峽。又西築保定，扞青石嶺，凡七城二堡，旬日就。以功檢校尚書右僕射，累封南川郡王。十四年，歸化堡軍亂，逐大將張國誠，詔昌經略。昌入堡，誅數百人，復使國誠統之。昌在邊凡十五年，身率士墾田，三年而軍有羨食，兵械銳新，邊障妥寧。及感疾，詔赴京師。未行，卒，年六十五，贈司空。,
3193,New_Book_of_Tang,190,,9,宗權餘黨常厚攻夔州。是時，西川節度使王建遣將屯忠州，與夔州刺史毛湘相唇齒，厚屯白帝。汭率存乘二軍之間攻之，二軍使人誶辱汭，韓楚言尤劇，汭恥之曰：「有如禽賊，當支解以逞！」會存夜斬營襲厚，破之，厚奔萬州，為刺史張造所拒，走綿州。存入夔州。楚言妻李語夫曰：「君常辱軍，且支解，不如前死。」楚言不決。李礪刀席下，方共食，復語之，夫曰：「未可知。」李取刀斷其首，並殺三子，乃自剄。汭畏其烈，禮葬之，刻石表曰烈女。即使司馬劉昌美守夔，率存溯江略雲安，建將皆奔。存按兵渝州，盡下瀕江州縣。,
184626,New_Book_of_Tang,62,,55,七月庚子，林甫為兵部尚書。,
75816,Old_Book_of_Tang,179,,87,史臣曰：嗚呼！李氏之失馭也，孛沴之氣紛如，仁義之徒殆盡。狐鳴鴟嘯，瓦解土崩。帶河礪嶽之門，寂無琨、逖；奮挺揭竿之類，唯效敦、玄。手未舍於棘矜，心已萌於問鼎。加以囂浮士子，闒茸鯫儒。昧管、葛濟時之才，無王、謝扶顛之業，邀功射利，陷族喪邦。濬、緯養虎於前，胤、璨剝廬於後。逐徐、薛於瘴海，置綮、朴於巖廊。殿廷有哭制之夫，輔弼走破輿之黨。九疇既紊，百怪斯呈。木將朽而蠹蠍生，厲既篤而夔魖見。妖徒若此，亡國宜然。何必長星，更臨衰運？,
9502,Old_Book_of_Tang,44,,22,尚食二人，正五品。司膳四人，正六品。典膳四人，正七品。掌膳四人，正八品。掌醖二人，正八品。女史四人，司醖二人，正七品。典醖二人，，正七品。女史二人。司藥二人，正六品。典藥二人，正七品。掌藥二人，正八品。女史四人。司饎二人，正六品。典饎二人，正七品。掌饎二人，正八品。女史四人。尚食之職，掌供膳羞品齊之數，總司膳、司醖、司藥、司饎四司之官屬。凡進食，先嘗之。司膳掌制烹煎和。司醖掌酒醴枌飲。司藥掌方藥。司饎掌給宮人廩餼飯食、薪炭。,
