,book,juan,juansuffix,paraIdx,text
27965,New_Book_of_Tang,165,,48,德宗自興元還，置六軍統軍視六尚書，以處功臣，除制用白麻付外。又廢宣武軍，益左右神策，以監軍為中尉。竇文場恃功，陰諷宰相進擬如統軍比。絪當作制，奏言：「天子封建，或用宰相，以白麻署制，付中書、門下。今以命中尉，不識陛下特以寵文場邪？遂著為令也？」帝悟，謂文場曰：「武德、貞觀時，中人止內侍，諸衛將軍同正賜緋者無幾。自魚朝恩以來，無復舊制。朕今用爾不謂無私，若麻制宣告，天下謂爾脅我為之。」文場叩頭謝。更命中書作詔，並罷統軍用麻矣。明日，帝見絪曰：「宰相不能拒中人，得卿言乃悟。」
163457,New_Book_of_Tang,169,,4,皇太子總軍國事，擢黃裳門下侍郎、同中書門下平章事。於是，夏綏銀節度使韓全義憸佞無功，因其來朝，白罷之。俄而劉辟叛，議者以辟恃險，討之或生事，唯黃裳固勸不赦，因奏罷中人監軍，而專委高崇文。凡兵進退，黃裳自中指授，無不切於機。崇文素憚劉澭，黃裳使人謂曰：「公不奮命者，當以澭代。」崇文懼，一死力縛賊以獻。蜀平，群臣賀，憲宗目黃裳曰：「時卿之功。」
32757,New_Book_of_Tang,179,,23,王涯，字廣津，其先本太原人，魏廣陽侯冏之裔。祖祚，武後時諫罷萬象神宮知名；開元時，以大理司直馳傳決獄，所至仁平。父晃，歷左補闕、溫州刺史。
130791,New_Book_of_Tang,186,,49,王建攻成都，田令孜以晟故將，與連和，假威戎軍節度使，守彭州。晟擊建，無功引還。且畏建圖己，乃約山南西道節度使楊守亮兄弟合謀拒建，掠新繁，焚漢州，又攻東川顧彥暉，為建兵所逐。建使王宗裕率騎五萬圍晟，食四郊麥，掠民資產。晟假子實以騎八千降於建，建以奇兵襲楊守厚等，皆亡去。晟開門決戰，大敗，遂約降。建饋十羊，晟曰：「以我為機上肉乎？」不出。建築甬道屬陴以入，斬晟首。
42400,New_Book_of_Tang,192,,11,循有大略，禮部尚書蘇頲嘗謂今頗、牧，及為益州，表署列將。敗吐蕃於西山，三遷靜塞軍營田使。張守珪北伐，次灤河，屬凍泮，欲濟無梁。循揣廣狹為橋以濟，破虜而還，以功擢遊擊將軍、榆關守捉使。地南負海，北屬長城，林埌岑翳，寇所蔽伏。循調土斬木開道，賊遁去。範陽節度使李適之薦為安東副大都護。安祿山兼平盧節度，表為副，遷博陵太守。祿山欲擊奚、契丹，復奏循光祿卿自副，使知留後。九姓叛，祿山兼節度河東，而循亦兼雁門副之。母亡將葬，宅有枯桑，一夕再生，芝出北庸，人以為瑞。玄宗以循有功，詔贈其父常山太守。
132227,New_Book_of_Tang,198,,33,隋大業初，舉明經高第，授河內郡博士。煬帝召天下儒官集東都，詔國子秘書學士與論議，穎達為冠，又年最少，老師宿儒恥出其下，陰遣客刺之，匿楊玄感家得免。補太學助教。隋亂，避地虎牢。
132271,New_Book_of_Tang,198,,77,房玄齡嘗稱播：「陳壽之流乎！」玄齡患顏師古註《漢書》文繁，令掇其要為四十篇。是時《漢書》學大興，其章章者若劉伯莊、秦景通兄弟、劉訥言，皆名家。
84543,New_Book_of_Tang,215,上,10,凡突厥、吐蕃、回鶻以盛衰先後為次；東夷、西域又次之，跡用兵之輕重也；終之以南蠻，記唐所繇亡雲。
26461,Old_Book_of_Tang,7,,38,三年春正月辛未朔，親謁太廟。癸酉，上始釋慘服，禦正殿受朝賀。甲戌，並、汾、絳三州地震，壞人廬舍。辛巳，南郊。戊子，躬耕籍田。己丑，大赦天下，改元為太極。內外官四品已下加一階，三品已上加爵一級。孔宣父祠廟，本州取側近三十戶以供灑掃。天下大酺五日，特賜老人九十已上緋衫牙笏，八十已上綠衫木笏。乙未，戶部尚書岑羲、左台御史大夫竇懷貞並同中書門下三品。二月丁酉，秘書增少監一員，光祿、大理、鴻臚、太府、衛尉、宗正各增置少卿一員，少府監、將作監增置少監一員，國子監增置司業一員，左右台各增置中丞一員。雍洛二州、並益荊揚四大都督府各增置司馬一員，仍分為左右司馬。丁亥，皇太子釋奠於國學。追贈顏回為太子太師，曾參為太子太保。每年春秋釋奠，以四科弟子、曾參從祀，列於二十二賢之上。辛酉，廢右禦史台官員。己巳，頒新格式於天下。
75657,Old_Book_of_Tang,12,,30,四年春正月戊寅朔。丁亥，鳳翔節度使張鎰與吐蕃宰相尚結贊同盟於清水。庚寅，李希烈陷汝州，執州將李元平而去，東都震駭。甲午，遣顏真卿宣慰李希烈軍。戊戌，以龍武大將軍哥舒曜為東都畿汝節度使，率鳳翔、邠甯、涇原等軍，東討希烈。丙午，福建觀察使常袞卒。二月戊申，於河陽三城置河陽軍節度。乙卯，哥舒曜收汝州。丁醜，以工部侍郎蔣鎮充禮儀使。
53833,Old_Book_of_Tang,19,下,5,乾符元年春正月辛酉朔。乙丑，左僕射、門下侍郎、平章事蕭仿兼右僕射。門下侍郎、吏部尚書、平章事王鐸檢校吏部尚書、同平章事，兼汴州刺史，充宣武軍節度、宋亳觀察等使。二月，葬懿宗於簡陵。
164767,Old_Book_of_Tang,30,,506,龍池躍龍龍已飛，龍德先天天不違。池開天漢分黃道，龍向天門入紫微。邸第樓臺多氣色，君王鳧雁有光輝。為報寰中百川水，來朝上地莫東歸。
47863,Old_Book_of_Tang,34,,151,求虧初複末置日月蝕泛用刻率，副之，以乘其日入轉損益率，如大衍通法而一。所得應朒者，依其損益；應朓者，損加益減其副，為定用刻數。半之，以減蝕甚辰刻，為虧初；以加蝕甚辰刻，為複末。其月蝕求入更籌者，置月蝕定用刻數，以其日每更差刻除，為更數；不盡，以每籌差刻除，為籌數。綜之為定用更籌。乃累計日入至蝕甚辰刻置之，以昏刻加日入辰刻減之，餘以更籌差刻除之。所得命以初更籌外，即蝕甚籌。半定用更籌減之，為虧初；以加之，為複末。按天竺僧俱摩羅所傳斷日蝕法，其蝕朔日度躔於郁車宮者，的蝕。諸斷不得其蝕，據日所在之宮，有火星在前三後一之宮並伏在日下，並不蝕。若五星總出，並水見，又水在陰曆，及三星已上同聚一宿，亦不蝕。凡星與日別宮或別宿則易斷，若同宿則難斷。更有諸斷，理多煩碎，略陳梗概，不復具詳者。其天竺所雲十二宮，則中國之十二次也。曰郁車宮者，即中國降婁之次也。十二次宿度，首尾具載「曆儀分野」卷中也。
110228,Old_Book_of_Tang,36,,14,南斗、牽牛，星紀之次也。醜初起鬥九度，一千四十二十分，秒二太。中鬥二十四度，一千一百分，秒八半。終女四度。其分野：自廬江、九江，負淮水之南，盡臨淮、廣陵，至於東海，廬、壽、和、濠、揚，皆屬星紀也。又逾南河，得漢丹陽、會稽、豫章郡，西濱彭蠡，南涉越州，盡蒼梧、南海。又逾嶺表，自韶、廣、封、梧、藤、羅、雷州，南及珠崖自北以東為星紀，其西皆屬鶉尾之次。古吳、越及東南百越之國，皆星紀分也。南斗在雲漢之下流，當淮、海之間，為吳分。牽牛去南河浸遠，故其分野自豫章東達會稽，南逾嶺徼，為越分。島夷蠻貊之人，聲教之所不洎，皆繫於狗國。李淳風刊定《隋志》，郡國頗為詳悉，所注郡邑多依用。其後州縣又隸管屬不同，但據山河以分耳。
90025,Old_Book_of_Tang,38,,411,沛漢縣，隋廢。武德複置
7464,Old_Book_of_Tang,39,,97,蔚州隋雁門郡之靈丘縣。武德四年，平劉武周。六年，置蔚州，寄治並州陽典縣，仍置靈丘、飛狐二縣。七年，寄治代州繁畤縣。八年，又寄治忻州秀容之北恆州城。貞觀五年，移於今治。天寶元年，改為安邊郡。至德二年九月，改為興唐郡。乾元元年，置蔚州。舊領縣二，戶九百四十二，口三千七百四十八。天寶領縣三，戶五千五十二，口二萬九百五十八。在京師東北一千八百一十裏，去東都一千六百四十裏。
69011,Old_Book_of_Tang,41,,408,荔浦漢縣，屬蒼梧郡。武德四年，置荔浦、建陵、隋化、崇仁、純義。五年，以隋化屬南恭州。貞觀元年，以建陵屬晏州。十三年，廢荔州，以荔浦、崇仁屬桂州，純義屬蒙州也
9489,Old_Book_of_Tang,44,,9,監一員，從三品。魏初置，品第二。梁品第三。隋品第四。武德品第三也。少監二員，從四品上。丞二人，從五品上。主事二人，從九品上。令史四人，書令史十二人，亭長、掌固各八人。殿中監掌天子服禦，總領尚食、尚藥、尚衣、尚舍、尚舍、尚輦六局之官屬，備其禮物，供其職事。少監為之貳。凡聽朝，則率其屬執傘扇以列於左右。凡大祭祀，則進大珪、鎮珪於壝門之外。既事，受而藏之。凡行幸，則侍奉於仗內，驂乘以從。若元正、冬至大朝會，則有進爵之禮。丞掌副監事，兼勾檢稽失，省署抄目。主事掌印及知受事發辰。
9581,Old_Book_of_Tang,44,,101,丞四人，從六品上。主簿二人，從七品上。錄事二人，從九品上。府十五人，史五十人，計史四人，亭長七人，掌固七人。丞掌判寺事。凡正、至大朝所貢方物，應陳於殿廷者，受而進之。
173204,Old_Book_of_Tang,97,,35,疏奏不省。
113253,Old_Book_of_Tang,123,,21,史臣曰：歷代操利柄為國計者，莫不損下益上，危人自安，變法以弄權，斂怨以構禍，皆有之矣。如劉晏通擁滯，任才能，富其國而不勞於民，儉於家而利於眾。或問曰：鄭子產吏不能欺，宓子賤吏不忍欺，西門豹吏不敢欺。三子者，古之賢人也，吏皆懷其欺而不能、不忍、不敢也。晏之吏，遠近自不欺者何也？答曰：蓋任其才而得其人也。晏歿，故吏二十餘年繼掌財賦，不其是哉！《史記貨殖》雲：「平糶齊物，關市不乏，治國之道也。」晏治天下，無甚貴甚賤之物，泛言治國者，其可及乎！舉真卿才，忠也，減王縉罪，正也，忠正之道，復出於人，嗚呼！本秀於林，風必摧之，常袞見忌於前，楊炎致冤於後，可為長嘆息矣！時譏有口者以利啖之，茍不塞讒口，何以持重權？即無以展其才，濟其國矣。是其術也，又何譏焉。第五琦促辦應卒，民不加賦，而國豐饒，亦庶幾矣。然鑄錢變法，物貴身危，其何陋哉！凡利國者，農商之外，不可為也。宏、滂爭權樹黨，皆非令人。紹之謹密幹事，巽之皦察精辨，亦足可稱。
52735,Old_Book_of_Tang,130,,17,顧況者，蘇州人。能為歌詩，性詼諧，雖王公之貴與之交者，必戲侮之，然以嘲誚能文，人多狎之。柳渾輔政，以校書郎征。復遇李泌繼入，自謂己知秉樞要。當得達官，久之方遷著作郎。況心不樂，求歸於吳。而班列群官，咸有侮玩之目，皆惡嫉之。及泌卒，不哭，而有調笑之言，為憲司所劾，貶饒州司戶。有文集二十捲。其《贈柳宜城》辭句，率多戲劇，文體皆此類也。
176906,Old_Book_of_Tang,141,,48,自安、史之亂，兩河藩帥多阻命自固，父死子代；唯茂昭表請舉族還朝，隣藩累遣遊客間說，茂昭志意堅決，拜表求代者數四。上乃命左庶子任迪簡為其行軍司馬，乗驛赴之。以兩郡之簿書、管鑰、符印付迪簡，遣其妻季氏、男克讓克恭等先就路，將行，誡之曰：「吾使爾曹侍親出易者，庶後之子孫不為風俗所染，則吾無恨矣。」時五年冬也。行及晉州，拜檢校太尉、兼中書令，充河中晉絳慈隰等州節度觀察等使。十二月十二日，至京師。故事雙日不坐，是日特開延英殿對茂昭，五刻乃罷。又上表請遷祖考之骨墓於京兆。在朝兩月，未之鎮。六年二月，疽發於首，卒，時年五十。廢朝五日，冊贈太師，賻絹三千匹、布一千端、米粟三千石，喪事所須官給，詔京兆尹監護，謚曰獻武。
130465,Old_Book_of_Tang,182,,69,硃瑾，瑄之母弟，驍果善戰。初，乾符末，朝廷以將軍齊克讓為兗州節度。瑾將襲取之，乃求婚於克讓。及親迎，瑾選勇士衛從，禮會之夜竊發，逐克讓，遂據城稱留後。朝廷不獲已，以節鉞授之。及硃瑄平，汴人移兵攻兗，經年食盡，瑾出城求食。比還，為別將所拒，不得入。乃渡淮依楊行密。行密寵待之，用為壽州刺史，大敗汴軍於清口，自此全忠不敢以兵渡淮。瑾，楊溥時謀亂，為徐知訓所殺。
155554,Old_Book_of_Tang,187,上,9,常達，陜人也。初仕隋為鷹揚郎將，數從高祖征伐，甚蒙親待。及義兵起，達在霍邑，從宋老生來拒戰。老生敗，達懼，自匿不出。高祖謂達已死，令人閱屍求之。及達奉見，高祖大悅，以為統軍。武德初，拜隴州刺史。時薛舉屢攻之，不能克，乃遣其將仵士政以數百人偽降達。達不之測，厚加撫接。士政伺隙以其徒劫達，擁城中二千人而叛，牽達以見於舉。達詞色抗厲，不為之屈。舉指其妻謂達曰：「識皇後否？」達曰：「正是癭老嫗，何足可識！」竟釋之。有賊帥張貴謂達曰：「汝識我否？」答曰：「汝逃死奴。」真目視之，貴怒，拔刀將斫達。人救之，獲免。
74953,Old_Book_of_Tang,189,下,44,郭山惲，蒲州河東人。少通《三禮》。景龍中，累遷國子司業。時中宗數引近臣及修文學士，與之宴集，嘗令各效伎藝，以為笑樂。工部尚書張錫為《談容娘舞》，將作大匠宗晉卿舞《渾脫》，左衛將軍張洽舞《黃麞》，左金吾衛將軍杜元琰誦《婆羅門咒〗》，給事中李行言唱《駕車西河》，中書舍人盧藏用效道士上章。山惲獨奏曰：「臣無所解，請誦古詩兩篇。」帝從之，於是誦《鹿鳴》、《蟋蟀》之詩。奏未畢，中書令李嶠以其詞有「好樂無荒」之語，頗涉規諷，怒為忤旨，遽止之。
77724,Old_Book_of_Tang,190,上,60,盧照鄰，字升之，幽州範陽人也。年十餘歲，就曹憲、王義方授《蒼》、《雅》及經史，博學善屬文。初授鄧王府典簽，王甚愛重之，曾謂群官曰：「此即寡人相如也。」後拜新都尉。因染風疾去官，處太白山中，以服餌為事。後疾轉篤，徙居陽翟之具茨山，著《釋疾文》、《五悲》等誦。頗有騷人之風，甚為文士所重。
172846,Old_Book_of_Tang,194,上,16,四年正月，李靖進屯惡陽嶺，夜襲定襄，頡利驚擾，因徙牙於磧口。胡酋康蘇密等遂以隋蕭後及楊政道來降。二月，頡利計窘，竄於鐵山，兵尚數萬，使執失思力入朝謝罪，請舉國內附。太宗遣鴻臚卿唐儉、將軍安修仁持節安撫之，頡利稍自安。靖乘間襲擊，大破之，遂滅其國。頡利乘千裏馬，獨騎奔於從侄沙缽羅部落。三月，行軍副總管張寶相率眾奄至沙缽羅營，生擒頡利送於京師。太宗謂曰：「凡有功於我者，必不能忘，有惡於我者，終亦不記。論爾之罪狀，誠為不小，但自渭水曾面為盟，從此以來，未有深犯，所以錄此，不相責耳！」仍詔還其家口，館於太僕，稟食之。頡利鬱鬱不得誌，與其家人或相對悲歌而泣。帝見羸憊，授虢州刺史，以彼土多麞鹿，縱其畋獵，庶不失物性。頡利辭不願往，遂授右衛大將軍，賜以田宅。
